;A;B;C;D;E;R
64;0.933053339;0.249297862;0.053715382;0.40699638;0.607844813;1
65;0.332326578;0.825555779;0.409953747;0.990112345;0.345540503;1
66;0.057973263;0.299749859;0.497344211;0.317567706;0.755024641;4
67;0.114327947;0.095224214;0.042961762;0.399452543;0.492015797;1
68;0.934405097;0.760994572;0.196864354;0.367406813;0.118904194;1
69;0.656009585;0.75657879;0.458905475;0.47370345;0.81160456;2
70;0.969014403;0.507119266;0.898418847;0.057349374;0.711317594;1
71;0.41546981;0.368013438;0.172819899;0.585519472;0.313675977;3
72;0.500576243;0.583901373;0.330678579;0.723729479;0.520693833;1
73;0.306873067;0.513553817;0.253801084;0.024209893;0.132762521;1
74;0.66512119;0.886761391;0.188152325;0.750445955;0.396129386;1
75;0.63145554;0.062756204;0.021054571;0.551014464;0.075946779;1
76;0.477577187;0.735540195;0.53326304;0.227565949;0.385801575;2
77;0.339916012;0.385349353;0.793063589;0.419848995;0.455257857;2
78;0.788140603;0.588943421;0.121820917;0.790114428;0.46660614;1
79;0.674508206;0.815154608;0.057274341;0.715535175;0.076657341;1
80;0.686238214;0.073943124;0.356076026;0.195782842;0.154380104;1
81;0.412723605;0.118890176;0.929380947;0.744952945;0.203912859;1
82;0.939693015;0.592017747;0.836579982;0.898408231;0.210633863;1
83;0.127459702;0.392750511;0.379573144;0.047912288;0.738671103;3
84;0.70551887;0.768299511;0.830353257;0.324114205;0.764019153;1
85;0.550761557;0.413151638;0.43182569;0.358104592;0.421957724;3
86;0.471238346;0.611120306;0.876920412;0.103692614;0.230691342;1
87;0.95410352;0.858915114;0.762858419;0.632948327;0.007716795;1
88;0.613733243;0.398401799;0.247690042;0.10408183;0.023294414;2
89;0.644654877;0.246652064;0.52144731;0.966091299;0.339331693;2
90;0.434120867;0.258477654;0.636609878;0.741119053;0.673208321;2
91;0.188668082;0.257832448;0.18068298;0.307853809;0.140585436;1
92;0.82804506;0.039080589;0.15316799;0.553724432;0.870390279;1
93;0.883493829;0.090565679;0.444158324;0.987299399;0.71210302;2
94;0.616681193;0.088233294;0.940194437;0.157050342;0.635154726;0
95;0.295511286;0.492846941;0.621589311;0.516248658;0.747914635;2
96;0.015338936;0.98767877;0.787332832;0.378466517;0.666778031;1
97;0.395664382;0.498465389;0.919089404;0.82139822;0.224352896;1
98;0.518044621;0.046203068;0.030964475;0.251684426;0.492652091;0
99;0.236334867;0.879051123;0.049180454;0.69723118;0.626661024;1
100;0.006379439;0.973989561;0.752416787;0.93275212;0.892147352;1
101;0.25845718;0.242043034;0.489714271;0.706041617;0.210456421;3
102;0.047082234;0.27609528;0.700981466;0.189480603;0.783950324;2
103;0.029490848;0.747128131;0.493690507;0.49887914;0.821060192;3
104;0.020717082;0.176286202;0.122497402;0.35601402;0.014011372;1
105;0.707094094;0.947794824;0.993292344;0.987616794;0.509714762;0
106;0.483416097;0.08880698;0.175822569;0.765766694;0.477989017;1
107;0.115895198;0.100802462;0.504577998;0.286518452;0.46493609;3
108;0.819043779;0.681763333;0.414634885;0.974719268;0.845527593;1
109;0.283909712;0.004876604;0.393297522;0.980552067;0.446568065;1
110;0.765488111;0.415593961;0.142806363;0.123181926;0.822166127;2
111;0.715486554;0.297661497;0.627855672;0.834045826;0.305095519;1
112;0.341332654;0.523520307;0.244543962;0.545629258;0.760186651;2
113;0.424448455;0.211442011;0.529554813;0.935979826;0.942342154;2
114;0.41890861;0.381176728;0.593681018;0.287126818;0.052946234;2
115;0.751395299;0.607679862;0.698816092;0.915817457;0.577383274;1
116;0.296956891;0.545819864;0.771706074;0.007810404;0.971066952;1
117;0.488153695;0.315113009;0.408326698;0.443986114;0.388098973;2
118;0.178551207;0.643934431;0.177949586;0.751443099;0.819778628;2
119;0.525707755;0.343615974;0.167868564;0.149858002;0.711714375;1
120;0.911171007;0.635372324;0.185749197;0.084345077;0.613980895;1
121;0.070379178;0.592901491;0.322051972;0.162172927;0.291194025;1
122;0.967752423;0.86649829;0.048026665;0.775543884;0.750206852;1
123;0.030709015;0.66888842;0.288776112;0.299442966;0.985314391;1
124;0.660182752;0.948688019;0.855850302;0.907108607;0.787687817;1
125;0.25869254;0.765721985;0.142547383;0.76101999;0.078710188;1
126;0.3834108;0.255762491;0.214433812;0.310067851;0.728958841;1
127;0.78103961;0.137480007;0.820796121;0.129175734;0.553383245;1
128;0.574830999;0.575823257;0.285363668;0.500310778;0.278392303;1
129;0.306831382;0.596899475;0.053186755;0.681166448;0.367409674;1
130;0.337557622;0.134643762;0.766316619;0.374400208;0.707793227;1
131;0.790341529;0.832046352;0.053858441;0.158929971;0.904614257;0
132;0.839158844;0.496995929;0.810200953;0.805217171;0.158569395;1
133;0.384696194;0.451197323;0.764576283;0.321912031;0.236370894;1
134;0.161339411;0.149548082;0.11007523;0.529245198;0.045936512;1
135;0.086751732;0.687315718;0.760495818;0.06176138;0.384648081;1
136;0.894975413;0.303025652;0.772313412;0.943800855;0.944254126;1
137;0.921374152;0.075406126;0.083518914;0.858350809;0.238122422;0
138;0.467175212;0.792571715;0.78223426;0.087722598;0.284488918;0
139;0.439211485;0.827797163;0.991171198;0.452828232;0.05764616;1
140;0.182249918;0.697676135;0.046075946;0.915809031;0.956568095;1
141;0.53912474;0.773784209;0.78722518;0.255263078;0.303038144;1
142;0.414556775;0.427085558;0.650473997;0.317460104;0.146442966;2
143;0.273563405;0.419505554;0.551109696;0.989959856;0.85406077;3
144;0.87380886;0.277278761;0.514061677;0.730095503;0.947528732;3
145;0.351829061;0.673804843;0.60515491;0.016477718;0.555544527;1
146;0.201296504;0.085316713;0.389054114;0.376940419;0.702530585;2
147;0.39332348;0.410644281;0.122009791;0.803180381;0.222174226;2
148;0.847212455;0.80624847;0.242389598;0.748587773;0.850523997;1
149;0.847567046;0.891269869;0.787009286;0.379924963;0.062951967;0
150;0.277202586;0.974342652;0.199429055;0.705749065;0.308678224;1
151;0.539755282;0.198163854;0.34808309;0.179359432;0.449549528;1
152;0.135951254;0.469581858;0.044554134;0.929619744;0.14544613;1
153;0.372986761;0.079779365;0.989804802;0.305088809;0.752200436;1
154;0.325221146;0.101149034;0.059037034;0.631707231;0.912495014;2
155;0.412814031;0.886099807;0.762603796;0.934719421;0.111076055;1
156;0.696566088;0.08469436;0.865244849;0.283488952;0.101263998;0
157;0.775330952;0.549019367;0.819097434;0.26715774;0.035460742;1
158;0.22863206;0.395531497;0.42220117;0.559762304;0.06971054;4
159;0.822569902;0.286134973;0.16476906;0.967644476;0.621743046;1
160;0.524924334;0.181798072;0.603154158;0.282136509;0.997360113;1
161;0.672414445;0.44421109;0.30067464;0.999938385;0.350554374;1
162;0.335293541;0.583567014;0.294443255;0.851068559;0.748701665;1
163;0.795823816;0.867173585;0.25489687;0.775024342;0.283272561;1
164;0.73488373;0.12012881;0.248878417;0.632674591;0.70246383;2
165;0.94390756;0.032451964;0.263327567;0.033425612;0.915137508;1
166;0.182639465;0.691156368;0.89302935;0.63682613;0.682027489;2
167;0.551910551;0.586695627;0.972196105;0.193887206;0.526552389;1
168;0.517794237;0.393982018;0.694508989;0.962809776;0.743045987;2
169;0.325070093;0.441604163;0.712801104;0.693774615;0.239530367;2
170;0.587211229;0.91993901;0.355244572;0.147570559;0.238046603;1
171;0.886835252;0.776061263;0.190696672;0.008174452;0.420001529;0
172;0.22963329;0.473714528;0.916498647;0.961256541;0.32225385;1
173;0.678985594;0.914881399;0.293651925;0.276023214;0.294921902;1
174;0.909699634;0.469236431;0.535086317;0.220192831;0.1208654;2
175;0.047713995;0.80857057;0.86967916;0.964923914;0.752628437;1
176;0.465306895;0.632348345;0.906875598;0.363911232;0.757212064;1
177;0.410143242;0.666785877;0.800016888;0.955438157;0.501649759;1
178;0.614125934;0.874309487;0.347881473;0.654801898;0.681309754;2
179;0.267314294;0.750176527;0.139651848;0.439951364;0.481234811;1
180;0.923718771;0.079002778;0.983623669;0.183327672;0.237957904;0
181;0.673080623;0.189264632;0.131012488;0.080550559;0.606062983;1
182;0.967353622;0.132534488;0.829809197;0.266522001;0.759364744;1
183;0.712958371;0.652730124;0.444234912;0.433997942;0.764106736;2
184;0.398088138;0.491012616;0.523631046;0.752411358;0.846433827;3
185;0.039062968;0.199219635;0.477101122;0.806770855;0.496413885;2
186;0.708776975;0.769714478;0.385756315;0.930956176;0.999214354;1
187;0.277289031;0.112060768;0.875286823;0.039935735;0.836645372;1
188;0.518034503;0.297455584;0.512977403;0.205300083;0.499655063;3
189;0.447325761;0.122617466;0.638991415;0.989169694;0.576395869;1
190;0.104704255;0.211536818;0.137305027;0.143171449;0.460174853;1
191;0.39614952;0.40606337;0.3945941;0.635356798;0.300232897;3
192;0.173963262;0.217466414;0.041751323;0.87860487;0.955335116;1
193;0.661476542;0.067701857;0.638915301;0.933075042;0.917951459;1
194;0.348381534;0.286586869;0.173613574;0.795776559;0.995430693;1
195;0.901964747;0.306127289;0.153274621;0.618627722;0.826854939;2
196;0.724479145;0.314315009;0.2508188;0.840099433;0.906746609;1
197;0.341018949;0.843707664;0.303591636;0.439286572;0.064848001;1
198;0.863486886;0.591593616;0.305616545;0.911474828;0.610730599;1
199;0.42872937;0.162374108;0.157596825;0.665951872;0.640778092;1
200;0.322034323;0.6595787;0.09207956;0.860554207;0.130079991;1
201;0.129108509;0.205536258;0.16052269;0.780427573;0.367173623;1
202;0.686983932;0.71377005;0.700751837;0.100924697;0.000281966;1
203;0.636158886;0.805647728;0.377481927;0.86084714;0.112354735;1
204;0.995821354;0.552268349;0.041068261;0.591478916;0.890355176;2
205;0.844596098;0.649966581;0.733388913;0.532709742;0.268536807;1
206;0.420415363;0.878973463;0.946626697;0.018230521;0.579047937;0
207;0.610112051;0.805489055;0.478180921;0.563013722;0.280665574;3
208;0.520519621;0.409733604;0.600188185;0.017339378;0.433289616;2
209;0.961829587;0.374329064;0.332063057;0.660942808;0.862230487;2
210;0.75035752;0.315188336;0.220272834;0.500035288;0.408468256;1
211;0.50118436;0.406890327;0.124277757;0.16528798;0.983154152;2
212;0.99208835;0.110016797;0.933077376;0.977436812;0.20412436;0
213;0.28550309;0.656393731;0.696006783;0.105039616;0.182217433;1
214;0.616251369;0.627022934;0.376507838;0.537730021;0.274057597;2
215;0.241642554;0.292509625;0.553305245;0.850588352;0.070647818;2
216;0.3079298;0.173432087;0.644105521;0.415289474;0.567680712;1
217;0.131214145;0.824984839;0.751102851;0.742563425;0.827252267;2
218;0.775091381;0.253242841;0.111061643;0.425194781;0.820581113;1
219;0.508031519;0.109601051;0.448191483;0.166943168;0.928812599;2
220;0.265424574;0.722732786;0.906553083;0.161665739;0.446908195;1
221;0.868434235;0.26198635;0.186065034;0.199344682;0.481408933;1
222;0.19158336;0.571782447;0.15732165;0.638054971;0.868220343;2
223;0.9955421;0.249490304;0.838258645;0.726218975;0.19813446;1
224;0.501508003;0.20876533;0.483319527;0.862330631;0.323507729;2
225;0.672030121;0.235599976;0.197590574;0.223248225;0.875180324;1
226;0.6547757;0.963306663;0.192651596;0.654667316;0.936684402;1
227;0.262604437;0.638281502;0.117832005;0.312325604;0.09169222;1
228;0.437012451;0.535187875;0.843863653;0.589418707;0.94367176;2
229;0.26725195;0.027706403;0.858026705;0.912175152;0.790393161;1
230;0.386393244;0.638157821;0.988230233;0.087632859;0.006375418;0
231;0.32676619;0.88533502;0.189300188;0.732693655;0.419981357;1
232;0.482611813;0.659090088;0.050835913;0.676727008;0.448588115;1
233;0.62304129;0.81536229;0.363311612;0.17585544;0.691230798;1
234;0.125023756;0.104495802;0.457171291;0.589729287;0.870793596;3
235;0.048114054;0.205282026;0.515804135;0.298824112;0.681613744;3
236;0.712374054;0.60993011;0.59320075;0.933675744;0.48519792;1
237;0.283077701;0.53266249;0.438931048;0.995647284;0.594309452;2
238;0.296476325;0.031258061;0.72088673;0.685358797;0.425401384;1
239;0.389766771;0.087521454;0.394925493;0.25807027;0.325617068;1
240;0.025900844;0.085563735;0.679933906;0.901564243;0.661505848;1
241;0.519992705;0.051431279;0.032878952;0.468271638;0.102432463;1
242;0.584268255;0.061777932;0.858824073;0.442063729;0.122562289;1
243;0.796105169;0.941369691;0.130105528;0.868666381;0.113122469;0
244;0.353214801;0.422082187;0.473454441;0.691106828;0.05758324;3
245;0.26441172;0.62127835;0.365000529;0.235148856;0.991418089;1
246;0.894928789;0.927274487;0.995067636;0.276444748;0.37904871;0
247;0.909141006;0.599026974;0.447873195;0.656094646;0.044073338;2
248;0.836425012;0.760842416;0.566652441;0.153978912;0.741682893;1
249;0.205667441;0.191794329;0.032729863;0.664532467;0.529064934;2
250;0.650986833;0.742409919;0.298154544;0.419578165;0.456882374;1
251;0.340687149;0.061968358;0.199290574;0.554770178;0.256872994;1
252;0.029525673;0.533212002;0.442687026;0.630151945;0.9110071;3
253;0.243338335;0.284069633;0.996582037;0.441614745;0.439022588;1
254;0.029540321;0.437526393;0.591385829;0.406763795;0.286610711;2
255;0.831869386;0.710934752;0.337792383;0.543172022;0.877652517;2
256;0.938207942;0.451625741;0.538799718;0.544288074;0.23886666;3
257;0.195609721;0.109851113;0.6044761;0.863389703;0.992837039;2
258;0.590691693;0.029475981;0.860649972;0.453308305;0.928415896;1
259;0.606985522;0.753950211;0.793306231;0.483006188;0.271025737;1
260;0.092247401;0.817390973;0.541151769;0.421648066;0.374894572;2
261;0.437659326;0.971398605;0.78718627;0.05665838;0.913599585;1
262;0.533168724;0.428807875;0.853705773;0.080216691;0.625495886;1
263;0.515242788;0.406511627;0.410445477;0.405508198;0.220080489;3
264;0.208986867;0.918802288;0.000315818;0.616662536;0.930364986;2
265;0.698896256;0.822478306;0.654634363;0.791342373;0.59914021;1
266;0.01979442;0.91472124;0.985823785;0.57103488;0.451467232;1
267;0.307425676;0.13130844;0.927976704;0.166290094;0.086912772;1
268;0.972708428;0.589357879;0.506640943;0.658691759;0.259349294;3
269;0.616108542;0.890522683;0.959525957;0.138228873;0.060991687;0
270;0.056713558;0.575894614;0.765963488;0.261532002;0.180663817;1
271;0.023034907;0.563497416;0.460855937;0.5285942;0.486986768;2
272;0.990814179;0.521169916;0.121084873;0.455944771;0.923843275;1
273;0.972689199;0.165007144;0.335503963;0.095891169;0.518108997;1
274;0.231445861;0.96730625;0.758799892;0.834560065;0.933108226;1
275;0.623974875;0.565560036;0.038753137;0.978575407;0.862269362;1
276;0.988686963;0.751678474;0.099516633;0.812325687;0.024498432;0
277;0.442220218;0.316067929;0.981518094;0.270334766;0.109246864;1
278;0.276788405;0.776821138;0.725688254;0.826770278;0.860040262;1
279;0.923425334;0.798308155;0.872788068;0.801015915;0.476085499;1
280;0.282742626;0.011626469;0.519201072;0.773522423;0.555474614;2
281;0.789643945;0.06159665;0.456627269;0.856422222;0.166156326;2
282;0.455478701;0.192431621;0.988408633;0.035827389;0.088757977;0
283;0.641796552;0.056771498;0.071072509;0.543887;0.966318589;1
284;0.998609067;0.175287775;0.884793838;0.508882782;0.782306828;1
285;0.353880667;0.820738818;0.64851694;0.678515416;0.744206219;2
286;0.364858269;0.250997964;0.876975665;0.158266682;0.062863505;1
287;0.049864892;0.04438846;0.044651886;0.111071676;0.133715166;0
288;0.693885575;0.041134256;0.605494993;0.363531452;0.685973437;1
289;0.715343818;0.059064772;0.672930907;0.521439297;0.7045653;1
290;0.152044656;0.843570815;0.506281588;0.256677399;0.146595616;3
291;0.1470247;0.961070678;0.465799345;0.734393383;0.741895505;3
292;0.474395739;0.0143372;0.033566011;0.202710244;0.9060257;1
293;0.048072849;0.837177977;0.233546897;0.089141996;0.715988728;1
294;0.00915224;0.247772626;0.744470777;0.67483314;0.603565097;1
295;0.817131093;0.661035355;0.580298116;0.740674712;0.520513383;1
296;0.031159424;0.426079356;0.325125763;0.998192759;0.51236651;2
297;0.023581723;0.528992251;0.746157731;0.44748605;0.425696469;1
298;0.62888362;0.712120871;0.107716574;0.609541911;0.517589918;2
299;0.702261263;0.187885156;0.281916995;0.761757151;0.381075094;1
300;0.648094001;0.341575733;0.731673582;0.645671627;0.265958307;2
301;0.578531309;0.52164261;0.152802701;0.215914201;0.145192707;1
302;0.562519417;0.442444246;0.93876951;0.901575765;0.941753049;1
303;0.914006706;0.460306765;0.66644148;0.174119501;0.176859463;1
304;0.698082452;0.204297119;0.162528885;0.125193065;0.662540118;1
305;0.592574603;0.548843149;0.136624264;0.987185337;0.039322251;1
306;0.651740351;0.435079963;0.991846838;0.405040117;0.311820793;1
307;0.261210852;0.18553065;0.235396182;0.891056936;0.241529687;1
308;0.467088113;0.545732171;0.213570092;0.426504154;0.684684281;1
309;0.889707467;0.756112787;0.200266506;0.18779018;0.475924482;0
310;0.197533164;0.273836701;0.313041493;0.969137963;0.233200623;2
311;0.033967117;0.953124653;0.534084344;0.017129465;0.628524896;2
312;0.587070199;0.568675744;0.99494311;0.439593258;0.549500785;1
313;0.726303993;0.422440541;0.885605401;0.256595625;0.998751273;1
314;0.51650528;0.158940242;0.071653567;0.659297769;0.533053011;1
315;0.290517262;0.624197964;0.056361659;0.368028052;0.340231223;1
316;0.227799758;0.176790712;0.436612727;0.272315075;0.420429266;2
317;0.881601982;0.968489763;0.122901436;0.541770075;0.439316523;1
318;0.196861592;0.951865961;0.318998789;0.821967026;0.461375003;1
319;0.334423406;0.516619826;0.818129013;0.14021916;0.943487184;1
320;0.209474724;0.155117806;0.108108253;0.319171688;0.008021793;1
321;0.954087275;0.488833643;0.142098756;0.008583296;0.055095457;1
322;0.11049706;0.25806432;0.117852729;0.320321582;0.022443178;1
323;0.454337236;0.284020457;0.005634215;0.037884035;0.794601322;1
324;0.139707045;0.070704705;0.700506396;0.247540586;0.752911659;1
325;0.661952155;0.957634553;0.293677329;0.1160879;0.126077671;0
326;0.359718411;0.833931697;0.174141591;0.532675163;0.192516069;1
327;0.75499097;0.197179166;0.131786348;0.166402084;0.703327562;1
328;0.479509665;0.209709634;0.792539009;0.616400187;0.4969639;2
329;0.765287727;0.876738313;0.203499516;0.526926634;0.498373548;1
330;0.30031877;0.368601424;0.439950404;0.675164692;0.076888162;3
331;0.646008406;0.823261401;0.570819297;0.300089654;0.008260053;1
332;0.654119863;0.379175796;0.42303991;0.811236035;0.719662079;3
333;0.728370906;0.695333478;0.27134771;0.169482135;0.574209339;1
334;0.440666745;0.975892408;0.617405411;0.544364347;0.775685721;2
335;0.708344646;0.12006338;0.137606272;0.891954991;0.326060147;1
336;0.708746718;0.886030636;0.885287755;0.576369523;0.367226339;1
337;0.188455817;0.491387233;0.694891125;0.998119434;0.071388074;2
338;0.409693905;0.823091851;0.628630441;0.11018266;0.026762292;1
339;0.369524644;0.242898938;0.204019752;0.200913786;0.25974037;1
340;0.243830991;0.233261289;0.186633086;0.75286687;0.350276881;1
341;0.764829629;0.506287762;0.35388323;0.626160984;0.157297145;2
342;0.752719329;0.535852534;0.236233154;0.934079119;0.566716888;1
343;0.850724904;0.784057049;0.344700893;0.956604379;0.16588171;1
344;0.229728226;0.685398465;0.545887712;0.3838076;0.909101508;2
345;0.793173563;0.684558617;0.50104418;0.625516951;0.311889715;4
346;0.180864253;0.136670032;0.224475117;0.798301502;0.080601518;1
347;0.016270465;0.242251023;0.992415413;0.383489938;0.133429136;1
348;0.85406093;0.386957908;0.380800614;0.167054116;0.302594054;2
349;0.414984016;0.939678828;0.460103371;0.937023698;0.73166881;2
350;0.527545154;0.038317458;0.227583783;0.987459956;0.362257026;1
351;0.692512452;0.551344615;0.144255702;0.243826967;0.552499633;1
352;0.548987459;0.355093543;0.052444352;0.311632625;0.568441761;1
353;0.388654702;0.076963064;0.115359635;0.186289926;0.968464387;1
354;0.686987687;0.122555103;0.019997401;0.976978925;0.723078349;1
355;0.306674091;0.459371125;0.603974175;0.6835079;0.288907647;2
356;0.512777561;0.718774516;0.003615587;0.900166119;0.426835451;0
357;0.581061326;0.091749326;0.871706587;0.695342954;0.353750992;1
358;0.5225187;0.133631467;0.845715605;0.347804503;0.238688767;1
359;0.79859433;0.519853632;0.547750879;0.019536725;0.745129012;2
360;0.151934171;0.653798087;0.712652969;0.957038788;0.358893482;1
361;0.414642287;0.885529796;0.167283056;0.194580393;0.945077571;1
362;0.207031819;0.063129801;0.100422604;0.812448186;0.507093785;1
363;0.31681055;0.849836776;0.609364592;0.217110754;0.379997271;1
364;0.993940425;0.622906079;0.590706049;0.747968718;0.023489107;1
365;0.097236107;0.742774769;0.66547566;0.534331034;0.398746837;1
366;0.115421147;0.505843411;0.240950252;0.526364511;0.386675295;2
367;0.271217903;0.690774282;0.380783655;0.226440598;0.616414888;1
368;0.393490009;0.750923076;0.614972123;0.761883817;0.068243594;1
369;0.287759917;0.94906746;0.123396547;0.221844144;0.543164664;1
370;0.489878861;0.0310902;0.609676239;0.166648633;0.107609459;1
371;0.18209108;0.257258687;0.848639204;0.232175098;0.110254802;1
372;0.225654064;0.445088459;0.324595198;0.379371169;0.420939847;2
373;0.698981612;0.733158902;0.278313236;0.954382963;0.857968382;1
374;0.588326471;0.361961467;0.524155934;0.964126194;0.189701472;3
375;0.305533073;0.893943104;0.022183217;0.581407963;0.053249105;2
376;0.191808114;0.454403098;0.420482686;0.032043555;0.30440818;2
377;0.565098259;0.67244701;0.848275103;0.239584996;0.263527359;0
378;0.802751783;0.762590671;0.094451778;0.683959684;0.802775331;2
379;0.312324948;0.820661418;0.912670213;0.831630404;0.520747176;1
380;0.97386772;0.15519579;0.987998427;0.694114668;0.980183249;1
381;0.84560741;0.414133775;0.415009691;0.260117434;0.888729033;2
382;0.989061129;0.027087889;0.737745244;0.139595617;0.830482125;1
383;0.219806433;0.308689551;0.109054735;0.038105033;0.545530628;1
384;0.590210997;0.846117485;0.375983568;0.478985627;0.099891056;1
385;0.482298332;0.620661341;0.750451085;0.075049218;0.707103666;1
386;0.975749383;0.044470625;0.952615979;0.579049365;0.846427234;2
387;0.354229505;0.296924686;0.327094781;0.194928025;0.335991941;1
388;0.945104032;0.665380842;0.186072535;0.046960538;0.98202456;1
389;0.434400172;0.138442742;0.92697324;0.033099938;0.203431431;0
390;0.795473484;0.979040945;0.940820487;0.487045196;0.814804726;1
391;0.010572318;0.51522656;0.516473978;0.213891237;0.461144953;3
392;0.491083705;0.849016518;0.663351354;0.73576739;0.900360841;1
393;0.571047008;0.960834484;0.824753242;0.298143694;0.824031254;1
394;0.700857512;0.775840491;0.450993887;0.266668816;0.923878029;2
395;0.912406045;0.045213044;0.84275959;0.566865532;0.953866202;1
396;0.922338916;0.953259877;0.837082432;0.839712179;0.264235062;0
397;0.528637503;0.879412624;0.581415;0.86491446;0.487889283;1
398;0.310559742;0.741697122;0.533924559;0.567866902;0.148426723;3
399;0.071825803;0.856469818;0.442557935;0.074293789;0.0850191;1
400;0.467724312;0.381952106;0.311410464;0.610622784;0.168649589;3
401;0.345772788;0.676142035;0.716491443;0.027347739;0.589432354;1
402;0.236590159;0.152383241;0.300904567;0.421354293;0.046942223;1
403;0.666737654;0.706936003;0.568976556;0.263397042;0.958176023;1
404;0.419277763;0.182328974;0.802154546;0.88108584;0.797539373;1
405;0.943701412;0.048129274;0.768744337;0.656157674;0.343964703;1
406;0.618307523;0.932266242;0.515485431;0.612702045;0.570623179;3
407;0.732069752;0.950159577;0.132353008;0.347130227;0.681928849;1
408;0.252880858;0.246288742;0.333253446;0.695219081;0.278198161;2
409;0.220407559;0.614487134;0.664478447;0.398550098;0.478873382;2
410;0.268128115;0.205760235;0.613741274;0.308875577;0.183145718;1
411;0.454125311;0.114224925;0.909404069;0.189833825;0.407172879;0
